PLAYER_ID,PLAYER_NAME,TEAM,GP,MPG,PPG,RPG,APG,SPG,BPG,TOV,FG_PCT,3P_PCT,FT_PCT,SEASON
1629626,Bol Bol,ORL,14,5.8,2.4,1.4,0.4,0.1,0.1,0.3,0.556,0.25,0.4,2021-22
1630538,Bones Hyland,DEN,69,19.0,10.1,2.7,2.8,0.6,0.3,1.2,0.403,0.366,0.856,2021-22
202954,Brad Wanamaker,WAS,23,13.9,3.6,1.7,2.4,0.3,0.3,1.0,0.364,0.235,0.92,2021-22
203078,Bradley Beal,WAS,40,36.0,23.2,4.7,6.6,0.9,0.4,3.4,0.451,0.3,0.833,2021-22
1630527,Brandon Boston,LAC,51,14.9,6.7,2.2,1.0,0.5,0.3,0.6,0.385,0.306,0.819,2021-22
1629634,Brandon Clarke,MEM,64,19.5,10.4,5.3,1.3,0.6,1.1,0.5,0.644,0.227,0.654,2021-22
1629164,Brandon Goodwin,CLE,36,13.9,4.8,1.9,2.5,0.7,0.0,1.0,0.416,0.345,0.632,2021-22
1627742,Brandon Ingram,NOP,55,34.0,22.7,5.8,5.6,0.6,0.5,2.7,0.461,0.327,0.826,2021-22
202688,Brandon Knight,DAL,5,12.9,6.4,1.6,1.6,0.2,0.0,0.8,0.4,0.235,1.0,2021-22
1630314,Brandon Williams,POR,24,26.7,12.9,3.1,3.9,1.0,0.4,2.4,0.372,0.292,0.701,2021-22
1630296,Braxton Key,DET,11,17.9,7.2,4.5,1.0,0.9,1.0,1.0,0.458,0.286,0.538,2021-22
1630271,Brodric Thomas,BOS,12,5.0,1.8,0.8,0.9,0.1,0.1,0.5,0.444,0.222,0.6,2021-22
201572,Brook Lopez,MIL,13,23.0,12.4,4.1,0.5,0.6,1.2,0.9,0.466,0.358,0.87,2021-22
1628971,Bruce Brown,BKN,72,24.6,9.0,4.8,2.1,1.1,0.7,0.8,0.506,0.404,0.758,2021-22
1628981,Bruno Fernando,HOU,30,5.1,2.9,1.8,0.2,0.0,0.4,0.5,0.655,0.5,0.625,2021-22
1627854,Bryn Forbes,DEN,75,17.1,8.8,1.2,1.0,0.3,0.1,0.7,0.429,0.414,0.908,2021-22
1627741,Buddy Hield,IND,81,30.8,15.6,4.4,2.8,0.9,0.3,1.9,0.406,0.366,0.874,2021-22
1629604,CJ Elleby,POR,58,20.2,5.8,3.9,1.5,0.6,0.3,1.0,0.393,0.294,0.714,2021-22
203468,CJ McCollum,NOP,62,34.6,22.1,4.3,5.1,1.1,0.4,2.0,0.46,0.388,0.682,2021-22
101139,CJ Miles,BOS,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22
1630595,Cade Cunningham,DET,64,32.6,17.4,5.5,5.6,1.2,0.7,3.7,0.416,0.314,0.845,2021-22
1628997,Caleb Martin,MIA,60,22.9,9.2,3.8,1.1,1.0,0.5,0.9,0.507,0.413,0.763,2021-22
1629629,Cam Reddish,NYK,49,20.7,10.1,2.1,1.0,1.0,0.3,1.2,0.404,0.359,0.902,2021-22
1630560,Cam Thomas,BKN,67,17.6,8.5,2.4,1.2,0.5,0.1,0.8,0.433,0.27,0.829,2021-22
1629661,Cameron Johnson,PHX,66,26.2,12.5,4.1,1.5,0.9,0.2,0.7,0.46,0.425,0.86,2021-22
1630787,Cameron McGriff,POR,3,15.3,4.7,5.0,1.0,0.0,0.3,0.0,0.357,0.333,1.0,2021-22
1628419,Cameron Oliver,ATL,2,21.7,11.5,3.0,1.5,0.5,0.5,0.0,0.667,0.333,0.667,2021-22
1626166,Cameron Payne,PHX,58,22.0,10.8,3.0,4.9,0.7,0.3,1.8,0.409,0.336,0.843,2021-22
